iter	Passed	Remaining
0	254	76011
1	344	51315
2	445	44149
3	550	40762
4	644	38005
5	750	36783
6	846	35415
7	945	34522
8	1037	33557
9	1131	32803
10	1218	32015
11	1310	31444
12	1394	30782
13	1484	30331
14	1573	29904
15	1662	29516
16	1761	29329
17	1854	29054
18	1946	28793
19	2035	28490
20	2121	28191
21	2197	27771
22	2277	27430
23	2359	27129
24	2455	27012
25	2555	26932
26	2649	26787
27	2758	26795
28	2853	26660
29	2953	26579
30	3040	26387
31	3133	26246
32	3225	26095
33	3322	25992
34	3424	25930
35	3512	25761
36	3601	25603
37	3697	25495
38	3782	25315
39	3864	25116
40	3934	24857
41	4018	24685
42	4103	24525
43	4185	24352
44	4265	24169
45	4336	23944
46	4413	23758
47	4504	23651
48	4599	23562
49	4683	23415
50	4764	23262
51	4854	23153
52	4932	22986
53	5003	22794
54	5091	22679
55	5174	22545
56	5249	22379
57	5322	22206
58	5409	22098
59	5485	21942
60	5559	21781
61	5643	21665
62	5721	21523
63	5798	21382
64	5897	21320
65	5987	21229
66	6081	21147
67	6163	21029
68	6249	20921
69	6343	20842
70	6421	20713
71	6521	20652
72	6601	20527
73	6680	20402
74	6782	20346
75	6864	20231
76	6953	20138
77	7039	20035
78	7124	19931
79	7232	19890
80	7308	19759
81	7390	19649
82	7496	19600
83	7580	19492
84	7658	19371
85	7743	19269
86	7847	19213
87	7913	19065
88	7986	18933
89	8078	18849
90	8155	18731
91	8245	18642
92	8341	18566
93	8444	18505
94	8529	18406
95	8608	18292
96	8685	18176
97	8764	18065
98	8850	17970
99	8941	17883
100	9007	17746
101	9092	17650
102	9173	17545
103	9255	17443
104	9337	17341
105	9422	17244
106	9499	17134
107	9579	17029
108	9660	16928
109	9724	16796
110	9817	16716
111	9913	16639
112	9996	16543
113	10084	16454
114	10164	16352
115	10250	16259
116	10354	16194
117	10430	16087
118	10519	16000
119	10605	15908
120	10680	15799
121	10751	15686
122	10823	15574
123	10898	15468
124	10974	15364
125	11062	15276
126	11138	15173
127	11204	15056
128	11295	14973
129	11381	14883
130	11461	14785
131	11550	14700
132	11625	14597
133	11695	14488
134	11774	14391
135	11853	14293
136	11928	14191
137	11992	14078
138	12060	13969
139	12118	13850
140	12179	13734
141	12241	13620
142	12312	13518
143	12384	13416
144	12449	13308
145	12531	13217
146	12599	13114
147	12677	13020
148	12755	12926
149	12824	12824
150	12905	12734
151	12984	12642
152	13053	12542
153	13135	12452
154	13227	12373
155	13302	12278
156	13389	12195
157	13462	12099
158	13530	11998
159	13599	11899
160	13669	11801
161	13748	11711
162	13813	11609
163	13878	11509
164	13950	11414
165	14024	11320
166	14098	11228
167	14162	11127
168	14229	11029
169	14301	10936
170	14367	10838
171	14440	10746
172	14512	10654
173	14579	10557
174	14667	10476
175	14739	10384
176	14808	10290
177	14870	10191
178	14932	10094
179	15005	10003
180	15084	9917
181	15176	9839
182	15250	9750
183	15321	9659
184	15396	9570
185	15468	9480
186	15546	9394
187	15626	9309
188	15708	9225
189	15774	9132
190	15848	9044
191	15917	8953
192	15988	8863
193	16058	8774
194	16121	8681
195	16191	8591
196	16258	8500
197	16329	8412
198	16403	8325
199	16467	8233
200	16547	8150
201	16622	8064
202	16700	7979
203	16781	7897
204	16859	7812
205	16932	7726
206	17004	7639
207	17085	7556
208	17157	7470
209	17248	7392
210	17318	7305
211	17388	7217
212	17460	7131
213	17534	7046
214	17610	6962
215	17679	6875
216	17752	6790
217	17833	6708
218	17905	6622
219	17980	6538
220	18053	6453
221	18120	6366
222	18192	6281
223	18261	6195
224	18331	6110
225	18408	6027
226	18474	5940
227	18536	5853
228	18613	5770
229	18675	5683
230	18734	5595
231	18802	5511
232	18881	5429
233	18948	5344
234	19020	5260
235	19090	5177
236	19161	5093
237	19250	5014
238	19321	4931
239	19391	4847
240	19461	4764
241	19534	4681
242	19608	4599
243	19679	4516
244	19739	4431
245	19803	4347
246	19883	4266
247	19959	4184
248	20019	4100
249	20091	4018
250	20168	3937
251	20245	3856
252	20306	3772
253	20382	3691
254	20458	3610
255	20526	3527
256	20600	3446
257	20668	3364
258	20741	3283
259	20812	3201
260	20882	3120
261	20954	3039
262	21016	2956
263	21085	2875
264	21165	2795
265	21244	2715
266	21307	2633
267	21394	2554
268	21472	2474
269	21550	2394
270	21617	2313
271	21701	2233
272	21762	2152
273	21830	2071
274	21906	1991
275	21993	1912
276	22066	1832
277	22131	1751
278	22202	1671
279	22277	1591
280	22359	1511
281	22430	1431
282	22497	1351
283	22568	1271
284	22631	1191
285	22704	1111
286	22778	1031
287	22845	951
288	22913	872
289	22985	792
290	23052	712
291	23124	633
292	23194	554
293	23279	475
294	23343	395
295	23438	316
296	23528	237
297	23604	158
298	23674	79
299	23747	0
