feature,importance
fr_card1_addr1,798
fr_card1_Pemailprov,654
C13,384
card1_addr1_txn_cnt,383
TransactionAmt,303
C1,291
amt_div_card1_mean,275
D1,265
C14,242
card1_txn_cnt,231
D15,199
card1_addr1_amt_mean,198
card1,196
addr1,172
card1_amt_mean,171
time_since_first_tx_card1,170
P_emaildomain__te,166
card1_amt_std,165
TransactionID,163
id_02,162
D2,162
card2,156
D4,154
D10,147
time_since_last_tx_card1,130
C11,130
D8,128
R_emaildomain__te,118
dist1,118
C6,117
M5__freq,113
C2,101
P_emaildomain__freq,100
DT_day,94
id_20,93
card1_recent3_amt_std,88
D3,85
id_31__freq,82
id_30__te,80
id_05,77
V258,76
C9,75
R_emaildomain__freq,70
ProductCD__freq,70
M6__freq,70
D11,68
M4__freq,67
DT_hour,66
card5,64
DeviceInfo__freq,64
V310,63
C8,62
id_19,61
card1_recent3_amt_mean,61
D5,54
id_06,52
TransactionDT,52
V156,51
V307,50
C5,49
id_01,49
V313,49
C10,46
V87,46
V55,45
V130,44
V283,44
id_33__freq,44
V317,42
D13,42
V308,42
time_since_last_tx_card1_hours,41
V285,41
V315,41
V45,41
DeviceInfo_brand__freq,40
V83,38
DT_day_part__freq,38
C12,37
V49,36
D6,36
P_emaildomain_norm__freq,35
V53,35
V48,34
id_14,34
M3__freq,33
P_emaildomain_norm__te,33
M4__te,32
D12,30
V82,29
V312,29
C3,28
card4__te,28
id_03,28
V311,28
V314,28
V281,27
V165,26
M5__te,25
D9,25
V91,25
V70,25
DT_day_part__te,24
C4,23
P_emaildomain_provider__freq,22
V75,22
V133,22
V19,21
V61,21
V86,21
M6__te,21
C7,20
V129,20
V20,19
V201,19
V81,19
M3__te,19
V187,19
id_13,19
V150,19
V13,18
V136,18
V99,18
V56,18
V37,18
P_emaildomain_provider__te,17
V169,17
V76,17
V78,17
V97,17
V294,17
M9__freq,16
V127,16
id_09,16
V67,15
V126,15
V143,15
V320,15
V309,15
V62,15
V131,14
V12,14
V44,14
V25,14
V24,14
V72,14
V54,14
V206,14
V291,13
V209,13
card4__freq,13
M2__freq,13
id_30__freq,13
id_11,13
V243,13
D14,12
id_04,12
V35,12
V203,12
V102,12
V282,12
V189,12
R_emaildomain_norm__te,11
card6__te,11
DeviceType__freq,11
V6,11
ProductCD__te,11
V96,11
V77,11
email_same_domain,11
V124,11
V316,11
V10,11
V26,10
card6__freq,10
R_emaildomain_provider__freq,10
V306,10
V217,10
V69,10
V52,10
V202,10
email_same_provider,9
V140,9
V139,9
V7,9
V290,9
V266,9
V159,9
V63,9
V59,9
V5,8
V289,8
V296,8
V259,8
id_17,8
V220,8
V211,8
V319,8
V30,8
V43,8
M8__freq,8
V152,8
V90,7
V246,7
V267,7
V166,7
V66,7
DT_week,7
V164,7
V270,7
V257,7
V264,7
V4,7
M9__te,7
V128,7
id_36__freq,7
V132,6
V273,6
V171,6
V23,6
V47,6
V207,6
V36,6
M1__freq,6
V154,6
V214,6
V149,6
V105,6
V293,6
V253,6
V271,6
V29,5
V184,5
card3,5
id_36__te,5
V265,5
id_38__te,5
V245,5
V223,5
V323,5
V280,5
V244,5
V332,5
V261,5
V109,5
V208,5
V160,5
V230,4
id_37__freq,4
id_38__freq,4
V224,4
V279,4
V233,4
V170,4
P_email_is_common,4
V221,4
M7__freq,4
V151,4
V38,4
V318,4
V326,4
V2,4
V263,4
id_37__te,4
R_emaildomain_norm__freq,4
V274,4
V64,4
V34,4
V178,4
V295,4
V85,4
V212,4
V215,4
V333,4
V210,4
V205,4
M7__te,3
V137,3
id_34__freq,3
id_15__freq,3
R_emaildomain_provider__te,3
V8,3
V135,3
V134,3
id_12__freq,3
V234,3
V57,3
V213,3
V329,3
V219,3
V204,3
V197,3
V182,3
V50,3
V32,3
V60,3
V71,3
V74,3
V287,3
V242,3
V303,3
V231,3
V324,3
V226,3
V321,3
V92,3
V256,3
V262,3
V277,3
V272,3
V101,3
V104,3
V16,3
V17,3
id_34__te,2
V111,2
V121,2
V9,2
V123,2
V268,2
V115,2
V108,2
V198,2
V176,2
V173,2
V172,2
R_email_is_common,2
V145,2
id_16__freq,2
M2__te,2
V167,2
V125,2
V161,2
V33,2
id_32,2
V225,2
V228,2
V232,2
V237,2
V218,2
V73,2
V79,2
V80,2
V339,2
id_10,2
V301,2
V95,2
V298,2
V300,2
V249,2
V292,2
V31,2
DeviceType_norm__freq,2
V39,2
V188,2
V200,2
V42,1
V180,1
V181,1
V227,1
V147,1
id_15__te,1
id_35__freq,1
V158,1
V46,1
V40,1
V146,1
V185,1
V94,1
V235,1
V3,1
V11,1
V15,1
V18,1
V275,1
V119,1
V278,1
id_16__te,1
V110,1
V106,1
V144,1
V51,1
V328,1
V199,1
V179,1
V84,1
V58,1
V216,1
V238,1
V337,1
V335,1
V297,1
V255,1
V251,1
V254,1
V247,1
V240,1
V248,1
V239,1
V331,1
V304,1
V288,1
V222,1
V286,1
id_28__te,0
id_35__te,0
id_29__te,0
V107,0
V117,0
V118,0
V120,0
V122,0
V1,0
V14,0
DeviceType__te,0
V116,0
V114,0
V260,0
V269,0
V113,0
V103,0
V276,0
V112,0
V186,0
V68,0
V65,0
V336,0
V338,0
V229,0
V330,0
V327,0
V89,0
V250,0
V284,0
V241,0
V252,0
V302,0
V299,0
V334,0
V236,0
V88,0
V93,0
V98,0
V100,0
V322,0
V325,0
V41,0
V27,0
V22,0
V183,0
V177,0
V168,0
V21,0
V174,0
V175,0
V196,0
V195,0
V194,0
V193,0
V192,0
V191,0
V190,0
V153,0
V142,0
V141,0
V138,0
V162,0
V163,0
V28,0
V157,0
V155,0
id_29__freq,0
id_28__freq,0
V148,0
M1__te,0
DeviceType_norm__te,0
addr2,0
id_12__te,0
M8__te,0
